Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,LLOC_NAIX_REGIO,poblacio,total_barri,pct
2015,2,Eixample,6,la Sagrada Família,11,960,51085,0.018792209063325828
2015,2,Eixample,6,la Sagrada Família,12,415,51085,0.008123715376333562
2015,2,Eixample,6,la Sagrada Família,13,131,51085,0.0025643535284330036
2015,2,Eixample,6,la Sagrada Família,14,275,51085,0.005383184887931878
2015,2,Eixample,6,la Sagrada Família,15,794,51085,0.015542722912792404
2015,2,Eixample,6,la Sagrada Família,16,351,51085,0.006870901438778506
2015,2,Eixample,6,la Sagrada Família,17,39752,51085,0.7781540569638837
2015,2,Eixample,6,la Sagrada Família,18,868,51085,0.016991289028090436
2015,2,Eixample,6,la Sagrada Família,19,16,51085,3.132034843887638e-4
2015,2,Eixample,6,la Sagrada Família,23,20,51085,3.915043554859548e-4
2015,2,Eixample,7,la Dreta de l'Eixample,1,36,43557,8.265032026999105e-4
2015,2,Eixample,7,la Dreta de l'Eixample,2,26,43557,5.969189797277131e-4
2015,2,Eixample,7,la Dreta de l'Eixample,3,244,43557,0.005601855040521616
2015,2,Eixample,7,la Dreta de l'Eixample,4,15,43557,3.4437633445829604e-4
2015,2,Eixample,7,la Dreta de l'Eixample,5,49,43557,0.001124962692563767
2015,2,Eixample,7,la Dreta de l'Eixample,6,314,43557,0.007208944601326997
2015,2,Eixample,7,la Dreta de l'Eixample,7,597,43557,0.013706178111440181
2015,2,Eixample,7,la Dreta de l'Eixample,8,3602,43557,0.08269623711458549
2015,2,Eixample,7,la Dreta de l'Eixample,9,348,43557,0.007989530959432467
2015,2,Eixample,7,la Dreta de l'Eixample,10,26,43557,5.969189797277131e-4
2015,2,Eixample,7,la Dreta de l'Eixample,11,754,43557,0.01731065041210368
2015,2,Eixample,7,la Dreta de l'Eixample,12,209,43557,0.004798310260118925
2015,2,Eixample,7,la Dreta de l'Eixample,13,122,43557,0.002800927520260808
2015,2,Eixample,7,la Dreta de l'Eixample,14,219,43557,0.0050278944830911216
2015,2,Eixample,7,la Dreta de l'Eixample,15,609,43557,0.013981679179006818
2015,2,Eixample,7,la Dreta de l'Eixample,16,643,43557,0.014762265537112289
2015,2,Eixample,7,la Dreta de l'Eixample,17,34063,43557,0.7820327387101959
2015,2,Eixample,7,la Dreta de l'Eixample,18,1599,43557,0.03671051725325435
2015,2,Eixample,7,la Dreta de l'Eixample,19,65,43557,0.0014922974493192828
2015,2,Eixample,7,la Dreta de l'Eixample,20,0,43557,0
2015,2,Eixample,7,la Dreta de l'Eixample,23,17,43557,3.902931790527355e-4
2015,2,Eixample,8,l'Antiga Esquerra de l'Eixample,1,26,41662,6.240698958283327e-4
2015,2,Eixample,8,l'Antiga Esquerra de l'Eixample,2,13,41662,3.1203494791416636e-4
2015,2,Eixample,8,l'Antiga Esquerra de l'Eixample,3,249,41662,0.005976669386971341
2015,2,Eixample,8,l'Antiga Esquerra de l'Eixample,4,12,41662,2.8803225961307667e-4
2015,2,Eixample,8,l'Antiga Esquerra de l'Eixample,5,38,41662,9.121021554414094e-4
2015,2,Eixample,8,l'Antiga Esquerra de l'Eixample,6,327,41662,0.00784887907445634
2015,2,Eixample,8,l'Antiga Esquerra de l'Eixample,7,609,41662,0.014617637175363641
2015,2,Eixample,8,l'Antiga Esquerra de l'Eixample,8,3918,41662,0.09404253276366953
2015,2,Eixample,8,l'Antiga Esquerra de l'Eixample,9,285,41662,0.006840766165810571
2015,2,Eixample,8,l'Antiga Esquerra de l'Eixample,10,13,41662,3.1203494791416636e-4
2015,2,Eixample,8,l'Antiga Esquerra de l'Eixample,11,716,41662,0.01718592482358024
2015,2,Eixample,8,l'Antiga Esquerra de l'Eixample,12,246,41662,0.005904661322068071
2015,2,Eixample,8,l'Antiga Esquerra de l'Eixample,13,472,41662,0.011329268878114349
2015,2,Eixample,8,l'Antiga Esquerra de l'Eixample,14,189,41662,0.004536508088905957
2015,2,Eixample,8,l'Antiga Esquerra de l'Eixample,15,640,41662,0.015361720512697422
2015,2,Eixample,8,l'Antiga Esquerra de l'Eixample,16,515,41662,0.012361384475061207
2015,2,Eixample,8,l'Antiga Esquerra de l'Eixample,17,32164,41662,0.7720224665162498
2015,2,Eixample,8,l'Antiga Esquerra de l'Eixample,18,1192,41662,0.02861120445489895
2015,2,Eixample,8,l'Antiga Esquerra de l'Eixample,19,25,41662,6.00067207527243e-4
2015,2,Eixample,8,l'Antiga Esquerra de l'Eixample,23,13,41662,3.1203494791416636e-4
2015,2,Eixample,9,la Nova Esquerra de l'Eixample,1,29,57656,5.029832107673096e-4
2015,2,Eixample,9,la Nova Esquerra de l'Eixample,2,29,57656,5.029832107673096e-4
