Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,total_habitatges,n_fisica,n_juridica,n_public,n_comunitat,n_altres,n_no_consta,pct_fisica,pct_juridica,pct_public,pct_comunitat,pct_altres,pct_no_consta
2019,3,Sants-Montjuïc,18,Sants,20989,18266,2283,56,0,17,367,0.8702653771022917,0.10877126113678594,0.0026680642241173947,0,8.099480680356377e-4,0.017485349468769354
2019,4,Les Corts,19,les Corts,23062,20216,2265,128,0,21,432,0.8765935304830457,0.09821351140404128,0.005550255832104761,0,9.105888474546874e-4,0.01873211343335357
2019,4,Les Corts,20,la Maternitat i Sant Ramon,11654,10293,1013,138,0,5,205,0.8832160631542818,0.08692294491161832,0.011841427835936159,0,4.290372404324695e-4,0.017590526857731253
2019,4,Les Corts,21,Pedralbes,6102,4692,1216,84,0,16,94,0.7689282202556539,0.19927892494264177,0.01376597836774828,0,0.002622091117666339,0.015404785316289742
2019,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",3034,2722,256,10,0,4,42,0.8971654581410679,0.08437705998681608,0.0032959789057350032,0,0.0013183915622940012,0.013843111404087014
2019,5,Sarrià-Sant Gervasi,23,Sarrià,12609,10510,1760,48,0,40,251,0.8335316044095488,0.1395828376556428,0.0038068046633357128,0,0.003172337219446427,0.01990641605202633
2019,5,Sarrià-Sant Gervasi,24,les Tres Torres,7027,5601,1298,22,0,6,100,0.7970684502632702,0.1847160950619041,0.0031307812722356624,0,8.538494378824534e-4,0.014230823964707557
2019,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,12622,9780,2527,38,0,61,216,0.774837585168753,0.2002059895420694,0.003010616384091269,0,0.004832831563935985,0.017112977341150373
2019,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,24990,19790,4798,8,0,32,362,0.7919167667066827,0.1919967987194878,3.201280512204882e-4,0,0.0012805122048819527,0.014485794317727091
2019,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,16281,13274,2589,21,0,57,340,0.8153061851237638,0.15901971623364658,0.0012898470609913396,0,0.0035010134512622076,0.020883238130335973
2019,6,Gràcia,28,Vallcarca i els Penitents,8973,7594,1059,175,0,9,136,0.8463167279616628,0.11802072885322634,0.01950295330435752,0,0.0010030090270812437,0.015156580853672127
2019,6,Gràcia,29,el Coll,3930,3499,311,49,0,7,64,0.8903307888040712,0.07913486005089058,0.012468193384223919,0,0.0017811704834605599,0.01628498727735369
2019,6,Gràcia,30,la Salut,6869,5993,746,9,0,8,113,0.8724705197263066,0.10860387247051972,0.0013102343863735624,0,0.001164652787887611,0.016450720628912504
2019,6,Gràcia,31,la Vila de Gràcia,30748,25199,4344,65,0,119,1021,0.8195329777546507,0.14127748146220892,0.0021139586314557045,0,0.003870170417588136,0.033205411734096524
2019,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,18317,15826,2094,18,0,10,369,0.8640061145384069,0.11432003057269204,9.826936725446306e-4,0,5.459409291914615e-4,0.02014522028716493
2019,7,Horta-Guinardó,33,el Baix Guinardó,12475,10975,1071,245,0,7,177,0.8797595190380761,0.08585170340681363,0.01963927855711423,0,5.611222444889779e-4,0.014188376753507015
2019,7,Horta-Guinardó,34,Can Baró,4826,4372,288,40,0,9,117,0.9059262329050974,0.059676750932449237,0.008288437629506838,0,0.0018648984666390386,0.0242436800663075
2019,7,Horta-Guinardó,35,el Guinardó,18761,16527,1768,21,0,31,414,0.8809231917275199,0.09423804701241938,0.0011193433185864292,0,0.001652363946484729,0.022067053994989608
2019,7,Horta-Guinardó,36,la Font d'en Fargues,5329,5015,232,20,0,1,61,0.941077125164196,0.043535372490148244,0.0037530493525989865,0,1.8765246762994934e-4,0.011446800525426909
2019,7,Horta-Guinardó,37,el Carmel,15481,14007,860,187,0,27,400,0.9047865124991925,0.05555196692720109,0.012079323041147214,0,0.0017440733802725921,0.025838124152186552
2019,7,Horta-Guinardó,38,la Teixonera,5966,5416,376,82,0,5,87,0.9078109285953738,0.06302380154207174,0.013744552463962454,0,8.380824673147837e-4,0.014582634931277238
2019,7,Horta-Guinardó,39,Sant Genís dels Agudells,3509,2821,623,19,0,6,40,0.8039327443716159,0.1775434596751211,0.005414648047876888,0,0.0017098888572242804,0.011399259048161869
2019,7,Horta-Guinardó,40,Montbau,2562,2475,58,10,0,2,17,0.9660421545667447,0.02263856362217018,0.0039032006245121,0,7.8064012490242e-4,0.00663544106167057
2019,7,Horta-Guinardó,41,la Vall d'Hebron,2654,2429,93,92,0,8,32,0.915222305953278,0.035041446872645064,0.0346646571213263,0,0.003014318010550113,0.012057272042200452
2019,7,Horta-Guinardó,42,la Clota,419,319,66,21,0,4,9,0.7613365155131265,0.1575178997613365,0.050119331742243436,0,0.00954653937947494,0.021479713603818614
2019,7,Horta-Guinardó,43,Horta,13472,12361,907,25,0,6,173,0.9175326603325415,0.06732482185273159,0.0018557007125890735,0,4.453681710213777e-4,0.012841448931116389
2019,8,Nou Barris,44,Vilapicina i la Torre Llobeta,12241,11350,656,8,0,12,215,0.9272118290989299,0.05359039294175313,6.535413773384527e-4,0,9.80312066007679e-4,0.017563924515970917
2019,8,Nou Barris,45,Porta,11488,10067,892,339,0,5,185,0.8763057103064067,0.07764623955431754,0.029509052924791085,0,4.352367688022284e-4,0.01610376044568245
2019,8,Nou Barris,46,el Turó de la Peira,6956,5458,1234,186,0,10,68,0.7846463484761357,0.17740080506037953,0.026739505462909718,0,0.001437607820586544,0.0097757331799885
2019,8,Nou Barris,47,Can Peguera,1047,213,98,735,0,1,0,0.2034383954154728,0.0936007640878701,0.7020057306590258,0,9.551098376313276e-4,0
2019,8,Nou Barris,48,la Guineueta,6801,5950,735,40,0,2,74,0.8748713424496397,0.10807234230260256,0.005881488016468166,0,2.9407440082340834e-4,0.010880752830466108
2019,8,Nou Barris,49,Canyelles,2919,2772,22,46,0,5,74,0.9496402877697842,0.0075368276807125725,0.0157588215142172,0,0.0017129153819801302,0.025351147653305928
2019,8,Nou Barris,50,les Roquetes,7084,6371,478,71,0,17,147,0.8993506493506493,0.06747600225861096,0.010022586109542632,0,0.0023997741389045735,0.020750988142292492
2019,8,Nou Barris,51,Verdun,5913,5369,249,206,0,8,81,0.9079993235244377,0.04211060375443937,0.034838491459496024,0,0.0013529511246406223,0.0136986301369863
2019,8,Nou Barris,52,la Prosperitat,12171,11251,466,218,0,29,207,0.9244104839372278,0.03828773313614329,0.01791142880617862,0,0.002382713006326514,0.017007641114123735
2019,8,Nou Barris,53,la Trinitat Nova,3649,2880,162,577,0,11,19,0.7892573307755549,0.04439572485612497,0.15812551383940807,0,0.0030145245272677444,0.005206906001644286
2019,8,Nou Barris,54,Torre Baró,1701,1121,250,270,0,4,56,0.6590241034685479,0.14697236919459142,0.15873015873015872,0,0.0023515579071134627,0.03292181069958848
2019,8,Nou Barris,55,Ciutat Meridiana,3957,3331,475,40,0,42,69,0.8417993429365681,0.12004043467273187,0.010108668182966895,0,0.01061410159211524,0.017437452615617893
2019,8,Nou Barris,56,Vallbona,845,584,35,214,0,0,12,0.6911242603550296,0.04142011834319527,0.2532544378698225,0,0,0.014201183431952662
2019,9,Sant Andreu,57,la Trinitat Vella,4194,3567,435,94,0,28,70,0.8505007153075823,0.10371959942775394,0.02241297091082499,0,0.006676204101096805,0.016690510252742013
2019,9,Sant Andreu,58,Baró de Viver,1112,843,21,238,0,1,9,0.7580935251798561,0.018884892086330936,0.21402877697841727,0,8.992805755395684e-4,0.008093525179856115
2019,9,Sant Andreu,59,el Bon Pastor,5333,4334,309,639,0,7,44,0.8126757922370148,0.05794112132008251,0.11981998874929684,0,0.0013125820363772737,0.008250515657228577
2019,9,Sant Andreu,60,Sant Andreu,29120,26152,1648,975,0,34,311,0.8980769230769231,0.056593406593406594,0.033482142857142856,0,0.0011675824175824176,0.010679945054945055
2019,9,Sant Andreu,61,la Sagrera,13488,10900,2351,58,0,8,171,0.8081257413997628,0.17430308422301305,0.00430011862396204,0,5.931198102016608e-4,0.012677935943060499
2019,9,Sant Andreu,62,el Congrés i els Indians,7031,6363,561,0,0,11,96,0.9049921774996444,0.07978950362679561,0,0,0.0015645000711136396,0.013653818802446309
2019,9,Sant Andreu,63,Navas,10275,9230,707,159,0,7,172,0.8982968369829684,0.06880778588807786,0.015474452554744526,0,6.812652068126521e-4,0.016739659367396593
2019,10,Sant Martí,64,el Camp de l'Arpa del Clot,19870,17267,2058,56,0,33,456,0.8689984901862103,0.10357322596879719,0.002818319073980876,0,0.0016607951685958732,0.022949169602415703
2019,10,Sant Martí,65,el Clot,12414,10773,1303,91,0,21,226,0.8678105364910584,0.10496213951989689,0.007330433381665861,0,0.0016916384726921219,0.018205252134686645
2019,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,7083,6157,682,128,0,24,92,0.8692644359734576,0.096286884088663,0.01807143865593675,0,0.0033883947479881405,0.012988846533954539
2019,10,Sant Martí,67,la Vila Olímpica del Poblenou,4653,4096,456,71,0,1,29,0.8802922845476037,0.09800128949065119,0.015258972705781216,0,2.149151085321298e-4,0.006232538147431765
2019,10,Sant Martí,68,el Poblenou,16436,14152,1729,234,0,61,260,0.8610367486006327,0.10519591141396933,0.01423704064249209,0,0.0037113652956923824,0.015818934047213434
2019,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,6298,5296,771,183,0,3,45,0.84090187361067,0.1224198158145443,0.029056843442362656,0,4.76341695776437e-4,0.007145125436646554
2019,10,Sant Martí,70,el Besòs i el Maresme,9645,8612,626,245,0,46,116,0.8928978745463971,0.06490409538621048,0.025401762571280455,0,0.004769310523587351,0.012026956972524623
2019,10,Sant Martí,71,Provençals del Poblenou,9194,8107,687,283,0,4,113,0.8817707200348053,0.07472264520339351,0.03078094409397433,0,4.3506634761801175e-4,0.012290624320208832
2019,10,Sant Martí,72,Sant Martí de Provençals,11692,11036,488,14,0,6,148,0.9438932603489566,0.041737940472117686,0.0011973999315771468,0,5.131713992473486e-4,0.012658227848101266
2019,10,Sant Martí,73,la Verneda i la Pau,13063,12315,270,265,0,10,203,0.9427390339125775,0.020669065298935925,0.020286304830437113,0,7.655209369976268e-4,0.015540075021051826
2020,1,Ciutat Vella,1,el Raval,23202,15838,5046,1771,0,77,470,0.6826135677958797,0.21748125161624,0.0763296267563141,0,0.00331867942418757,0.020256874407378674
2020,1,Ciutat Vella,2,el Barri Gòtic,10353,6834,3012,268,0,84,155,0.6600985221674877,0.2909301651695161,0.025886216555587753,0,0.008113590263691683,0.014971505843716797
2020,1,Ciutat Vella,3,la Barceloneta,9145,7174,1501,347,0,11,112,0.7844723892837616,0.16413340623291417,0.03794423182066703,0,0.001202843083652269,0.012247129579004921
